Nombre Modelo,Codigo,Costo,Externo
AIRPODS 3RD GEN WHITE,7009429,219.99,No
AIRPODS 4 WHITE MXP63LL/A,7012574,139.99,No
AIRPODS PRO (2ND GEN USB-C) MTV3AM/A,7011630,249.99,No
ALCATEL 2038,70006530,19.99,No
ALCATEL U3 4049G NEGRO,70006529,39.99,No
APPLE 20W USB-C POWER ADAP,7008486,0.01,No
APPLE 20W USB-C POWER ADAPTER,7012979,19.99,No
APPLE AIRPODS 2GEN W CHARGING CASE,7007019,119.99,No
APPLE AIRPODS 2GEN WIRELESS CHAR,7007018,219.99,No
APPLE AIRPODS 4 MAX MIDNIGHT,7012699,569.99,No
APPLE AIRPODS PRO 2GEN,7010960,249.99,No
APPLE AIRPOS PRO,7007417,249.99,No
APPLE AIRTAG 1 PACK,7008910,29.99,No
APPLE BEATS SOLO BUDS GRAY,7012951,79.99,No
APPLE BEATS SOLO BUDS PURPLE,7012950,79.99,No
APPLE BEATS SOLO BUDS RED,7012952,79.99,No
